profile_id,company,profile_type
28334,Acura,Facebook Page
20629,123Greetings.Com,Facebook Page
102174,Acura,Google+ Page
98257,Acura (Acura),YouTube Channel
108561,acura (Acura),Instagram Profile
73169,Acura,Twitter Profile
52890,American Greetings,Facebook Page
8574,AT&T,Facebook Page
49,Audi USA,Facebook Page
18298,Beats by Dre,Facebook Page
97407,Beats By Dre,Twitter Profile
17,BMW,Facebook Page
20259,Bose,Facebook Page
94953,Bose,Twitter Profile
10455,Century 21,Facebook Page
21496,Chobani,Facebook Page
110137,Chobani,Twitter Profile
10459,Coldwell Banker Real Estate LLC,Facebook Page
53721,ECCO Shoes,Facebook Page
74018,FAGE,Twitter Profile
50152,FAGE,Facebook Page
53654,Fujifilm Cameras,Facebook Page
19147,Get Olympus,Facebook Page
84149,Hallmark,Facebook Page
24300,Infiniti,Facebook Page
26804,JBL,Facebook Page
95748,JibJab.com,Facebook Page
121321,justWink,Facebook Page
10457,"Keller Williams Realty, Inc.",Facebook Page
216,Lexus,Facebook Page
29409,lululemon athletica,Facebook Page
11916,M&M's U.S.A.,Facebook Page
89683,MassMutual,Twitter Profile
113060,MassMutual,Google+ Page
36429,MassMutual,Facebook Page
89682,MassMutual (MassMutual),YouTube Channel
123543,MassMutual Financial Group,LinkedIn Profile
17168,Match.com,Facebook Page
120570,Movado,Facebook Page
86915,MY M&M'S,Facebook Page
96553,Nat Geo Channel,Twitter Profile
33859,Nat Geo Wild,Facebook Page
33858,National Geographic Channel,Facebook Page
69359,New York Life,Twitter Profile
11125,New York Life Insurance Company,Facebook Page
1953,Nikon,Facebook Page
120568,Nixon,Facebook Page
19083,Northwestern Mutual,Facebook Page
72035,Northwestern Mutual,Facebook Page
20989,Oikos Greek Yogurt,Facebook Page
121732,Oikos Greek Yogurt,Twitter Profile
103580,Olympus Audio,Facebook Page
44453,OMEGA Watches,Facebook Page
69855,Red Bull,Twitter Profile
4601,Ricoh Imaging,Facebook Page
85910,ROLEX,Facebook Page
28878,Samsung Camera USA,Facebook Page
28879,Samsung NX,Facebook Page
95752,Someecards,Facebook Page
122603,Sonos,Twitter Profile
93605,Sonos,Facebook Page
28472,Sports Authority,Facebook Page
82660,Sprint,Twitter Profile
102697,Sprint,Google+ Page
19818,Sprint,Facebook Page
96048,Sprint (Sprint),YouTube Channel
4375,T-Mobile,Facebook Page
83326,Treat,Facebook Page
78525,U.S. Cellular,Facebook Page
26289,United,Facebook Page
19748,Vanguard,Facebook Page
69530,Vanguard,Twitter Profile
8575,Verizon Wireless,Facebook Page
120569,Victorinox Swiss Army North America,Facebook Page
191,Volkswagen,Facebook Page
